Ethnicity,Subject,TestScorePercentage,StateTestPercentage,gsid
All students,Math,42,37,5785
White,Math,47,53,5785
Hispanic,Math,26,24,5785
Native American or Native Alaskan,Math,43,25,5785
All students,English,48,48,5785
White,English,57,64,5785
Hispanic,English,26,37,5785
Native American or Native Alaskan,English,36,36,5785
All students,Science,52,53,5785
White,Science,61,74,5785
Hispanic,Science,29,40,5785
All students,Math,58,37,5786
White,Math,63,53,5786
Hispanic,Math,60,24,5786
All students,English,65,48,5786
White,English,67,64,5786
Hispanic,English,67,37,5786
All students,Science,78,53,5786
White,Science,89,74,5786
Hispanic,Science,60,40,5786
All students,Math,48,37,2910
Asian,Math,70,72,2910
Hispanic,Math,20,24,2910
White,Math,49,53,2910
Filipino,Math,58,57,2910
Black,Math,18,18,2910
Two or more races,Math,18,52,2910
All students,English,63,48,2910
Asian,English,78,75,2910
Hispanic,English,43,37,2910
White,English,71,64,2910
Filipino,English,79,70,2910
Black,English,36,31,2910
Two or more races,English,41,63,2910
All students,Science,75,61,2910
Asian,Science,88,85,2910
Hispanic,Science,58,49,2910
White,Science,86,78,2910
Filipino,Science,92,79,2910
All students,Science,55,50,5984
Hispanic,Science,42,37,5984
White,Science,82,68,5984
All students,Math,6,37,5984
Hispanic,Math,0,24,5984
White,Math,14,53,5984
All students,English,30,48,5984
Hispanic,English,21,37,5984
White,English,44,64,5984
All students,Math,73,37,6236
White,Math,77,53,6236
Hispanic,Math,68,24,6236
Two or more races,Math,65,52,6236
All students,English,75,48,6236
White,English,76,64,6236
Hispanic,English,65,37,6236
Two or more races,English,94,63,6236
All students,Science,94,53,6236
White,Science,92,74,6236
Hispanic,Science,100,40,6236
All students,English,61,48,5789
White,English,70,64,5789
Hispanic,English,46,37,5789
Native American or Native Alaskan,English,28,36,5789
All students,Math,64,37,5789
White,Math,76,53,5789
Hispanic,Math,45,24,5789
Native American or Native Alaskan,Math,28,25,5789
All students,Science,83,53,5789
White,Science,94,74,5789
Hispanic,Science,68,40,5789
All students,English,72,48,14993
White,English,76,64,14993
Hispanic,English,62,37,14993
Two or more races,English,63,63,14993
Filipino,English,83,70,14993
Asian,English,100,75,14993
All students,Math,71,37,14993
White,Math,74,53,14993
Hispanic,Math,62,24,14993
Two or more races,Math,69,52,14993
Filipino,Math,89,57,14993
Asian,Math,100,72,14993
All students,Science,93,53,14993
White,Science,96,74,14993
Hispanic,Science,92,40,14993
All students,Math,39,37,12226
Hispanic,Math,38,24,12226
White,Math,42,53,12226
Black,Math,20,18,12226
Filipino,Math,53,57,12226
All students,English,37,48,12226
Hispanic,English,33,37,12226
White,English,52,64,12226
Black,English,20,31,12226
Filipino,English,47,70,12226
All students,Science,39,53,12226
Hispanic,Science,34,40,12226
White,Science,52,74,12226
All students,English,63,48,5973
White,English,74,64,5973
Hispanic,English,56,37,5973
Black,English,35,31,5973
Two or more races,English,65,63,5973
Asian,English,73,75,5973
Filipino,English,70,70,5973
All students,Math,50,37,5973
White,Math,61,53,5973
Hispanic,Math,41,24,5973
Black,Math,24,18,5973
Two or more races,Math,49,52,5973
Asian,Math,65,72,5973
Filipino,Math,74,57,5973
All students,Science,75,61,5973
White,Science,79,78,5973
Hispanic,Science,73,49,5973
Black,Science,41,43,5973
Two or more races,Science,84,75,5973
All students,Math,26,37,5858
Hispanic,Math,25,24,5858
White,Math,33,53,5858
Black,Math,8,18,5858
All students,English,41,48,5858
Hispanic,English,39,37,5858
White,English,50,64,5858
Black,English,33,31,5858
All students,Science,30,53,5858
Hispanic,Science,29,40,5858
All students,English,42,48,5792
Hispanic,English,35,37,5792
White,English,67,64,5792
All students,Math,37,37,5792
Hispanic,Math,32,24,5792
White,Math,56,53,5792
All students,Science,39,53,5792
Hispanic,Science,24,40,5792
All students,Science,42,50,5793
Hispanic,Science,39,37,5793
All students,English,74,48,5793
Hispanic,English,65,37,5793
All students,Math,7,37,5793
Hispanic,Math,10,24,5793
All students,Math,20,37,5794
Hispanic,Math,17,24,5794
White,Math,29,53,5794
All students,English,41,48,5794
Hispanic,English,36,37,5794
White,English,62,64,5794
All students,Science,44,61,5794
Hispanic,Science,36,49,5794
All students,Math,73,37,2962
Asian,Math,86,72,2962
White,Math,72,53,2962
Hispanic,Math,57,24,2962
Two or more races,Math,71,52,2962
All students,English,79,48,2962
Asian,English,90,75,2962
White,English,74,64,2962
Hispanic,English,73,37,2962
Two or more races,English,76,63,2962
All students,Science,88,53,2962
Asian,Science,89,78,2962
White,Science,84,74,2962
Hispanic,Science,89,40,2962
Two or more races,Science,100,72,2962
All students,English,61,48,5801
White,English,68,64,5801
Hispanic,English,47,37,5801
All students,Math,59,37,5801
White,Math,68,53,5801
Hispanic,Math,41,24,5801
All students,Science,74,53,5801
White,Science,89,74,5801
Hispanic,Science,52,40,5801
All students,Math,22,37,5803
Hispanic,Math,22,24,5803
White,Math,20,53,5803
Black,Math,16,18,5803
Asian,Math,58,72,5803
All students,English,26,48,5803
Hispanic,English,28,37,5803
White,English,24,64,5803
Black,English,21,31,5803
Asian,English,64,75,5803
All students,Science,41,61,5803
Hispanic,Science,44,49,5803
White,Science,32,78,5803
Black,Science,55,43,5803
All students,Math,25,37,5804
White,Math,24,53,5804
Hispanic,Math,22,24,5804
Black,Math,16,18,5804
All students,English,24,48,5804
White,English,23,64,5804
Hispanic,English,23,37,5804
Black,English,13,31,5804
All students,Science,30,53,5804
White,Science,26,74,5804
Hispanic,Science,34,40,5804
All students,Math,36,37,12386
Hispanic,Math,32,24,12386
White,Math,43,53,12386
Black,Math,5,18,12386
Two or more races,Math,39,52,12386
Filipino,Math,75,57,12386
Asian,Math,73,72,12386
All students,English,42,48,12386
Hispanic,English,34,37,12386
White,English,54,64,12386
Black,English,18,31,12386
Two or more races,English,50,63,12386
Filipino,English,75,70,12386
Asian,English,73,75,12386
All students,Science,52,53,12386
Hispanic,Science,39,40,12386
White,Science,66,74,12386
