address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"1850 Alpine Boulevard, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,384,(619) 445-0484,1-5,5785,5,32.83878,-116.77429,Alpine Elementary School,060210000091,https://www.greatschools.org/california/alpine/5785-Alpine-Elementary-School/?s_cid=gsapi,(619) 445-2625,https://www.greatschools.org/school/rating.page?state=CA&id=5785&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5785&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5785,CA,public,www.alpineschools.net/alpineelementary
"2320 Tavern Road, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,244,(619) 445-1420,1-5,5786,8,32.81912,-116.77734,Boulder Oaks Elementary School,060210009696,https://www.greatschools.org/california/alpine/5786-Boulder-Oaks-Elementary-School/?s_cid=gsapi,(619) 445-8676,https://www.greatschools.org/school/rating.page?state=CA&id=5786&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5786&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5786,CA,public,www.alpineschools.net/boulderoaks
"1372 East Las Tunas Drive, 
San Gabriel, CA  91776",San Gabriel,San Gabriel Unified,311,0634425,1180,(626) 285-5387,6-8,2910,7,34.10346,-118.07783,Jefferson Middle School,063442500557,https://www.greatschools.org/california/san-gabriel/2910-Jefferson-Middle-School/?s_cid=gsapi,(626) 287-5260,https://www.greatschools.org/school/rating.page?state=CA&id=2910&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=2910&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/2910,CA,public,http://www.jefferson.sgusd.k12.ca.us
"3305 Buckman Springs Road, 
Pine Valley, CA  91962",Pine Valley,Mountain Empire Unified School District,695,0626100,392,(619) 473-8038,9-12,5984,5,32.734486,-116.49205,Mountain Empire High School,062610003906,https://www.greatschools.org/california/pine-valley/5984-Mountain-Empire-High-School/?s_cid=gsapi,(619) 473-8601,https://www.greatschools.org/school/rating.page?state=CA&id=5984&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5984&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5984,CA,public,http://www.cde.ca.gov/re/sd/details.asp?cds=37682133734878&Public=Y
"2150 Beryl Street, 
San Diego, CA  92109",San Diego,San Diego Unified School District,705,0634320,492,(858) 272-0260,K-5,6236,10,32.809074,-117.23219,Sessions Elementary School,063432005550,https://www.greatschools.org/california/san-diego/6236-Sessions-Elementary-School/?s_cid=gsapi,(858) 273-3111,https://www.greatschools.org/school/rating.page?state=CA&id=6236&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6236&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6236,CA,public,http://new.sandi.net/schools/sessions
"31555 Old River Road, 
Bonsall, CA  92003",Bonsall,Bonsall Unified,1553,0601426,985,(760) 758-3193,K-5,5789,8,33.28717,-117.21922,Bonsall Elementary School,060567000516,https://www.greatschools.org/california/bonsall/5789-Bonsall-Elementary-School/?s_cid=gsapi,(760) 631-5205,https://www.greatschools.org/school/rating.page?state=CA&id=5789&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5789&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5789,CA,public,http://www.bonsallusd.com
"7350 West Lilac Road, 
Bonsall, CA  92003",Bonsall,Bonsall Unified,1553,0601426,1000,,9-12,31970,4,33.29716,-117.17493,Bonsall High,060142613751,https://www.greatschools.org/california/bonsall/31970-Bonsall-High/?s_cid=gsapi,(760) 631-5209,https://www.greatschools.org/school/rating.page?state=CA&id=31970&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31970&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31970,CA,public,www.bonsallhs.com
"5050 El Mirlo Drive, 
Oceanside, CA  92057",Oceanside,Bonsall Unified,1553,0601426,559,(760) 721-8117,K-6,14993,9,33.26414,-117.29233,Bonsall West Elementary School,060567011749,https://www.greatschools.org/california/oceanside/14993-Bonsall-West-Elementary-School/?s_cid=gsapi,(760) 721-8001,https://www.greatschools.org/school/rating.page?state=CA&id=14993&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14993&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14993,CA,public,http://www.bonsallusd.com
"4250 Old Grove Road, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,786,(760) 722-0472,K-5,12226,5,33.238083,-117.31514,Nichols Elementary School,062825010645,https://www.greatschools.org/california/oceanside/12226-Nichols-Elementary-School/?s_cid=gsapi,(760) 435-7400,https://www.greatschools.org/school/rating.page?state=CA&id=12226&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12226&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12226,CA,public,http://nichols.oside.us/
"9009 Park Plaza Drive, 
La Mesa, CA  91942",La Mesa,La Mesa-Spring Valley School District,694,0620250,737,(619) 668-5779,7-8,5973,7,32.791298,-117.00296,Parkway Middle School,062025002441,https://www.greatschools.org/california/la-mesa/5973-Parkway-Middle-School/?s_cid=gsapi,(619) 668-5810,https://www.greatschools.org/school/rating.page?state=CA&id=5973&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5973&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5973,CA,public,http://www.lmsvsd.k12.ca.us
"540 G Street, 
Chula Vista, CA  91910",Chula Vista,Chula Vista Elementary School District,677,0608610,581,(619) 691-1086,K-6,5858,5,32.635063,-117.08833,Vista Square Elementary School,060861000882,https://www.greatschools.org/california/chula-vista/5858-Vista-Square-Elementary-School/?s_cid=gsapi,(619) 422-8374,https://www.greatschools.org/school/rating.page?state=CA&id=5858&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5858&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5858,CA,public,http://schools.cvesd.org/schools/vistasquare/
"1315 Palm Canyon Drive, 
Borrego Springs, CA  92004",Borrego Springs,Borrego Springs Unified,674,0605700,223,(760) 767-7438,PK-5,5792,5,33.25519,-116.34682,Borrego Springs Elementary School,060570000517,https://www.greatschools.org/california/borrego-springs/5792-Borrego-Springs-Elementary-School/?s_cid=gsapi,(760) 767-5333,https://www.greatschools.org/school/rating.page?state=CA&id=5792&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5792&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5792,CA,public,
"2281 Diegueno Road, 
Borrego Springs, CA  92004",Borrego Springs,Borrego Springs Unified,674,0605700,131,(760) 767-5999,9-12,5793,5,33.26548,-116.38153,Borrego Springs High School,060570000518,https://www.greatschools.org/california/borrego-springs/5793-Borrego-Springs-High-School/?s_cid=gsapi,(760) 767-5357,https://www.greatschools.org/school/rating.page?state=CA&id=5793&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5793&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5793,CA,public,
"2255 Diegueno Road, 
Borrego Springs, CA  92004",Borrego Springs,Borrego Springs Unified,674,0605700,98,(760) 767-5999,6-8,5794,4,33.264683,-116.38371,Borrego Springs Middle School,060570007636,https://www.greatschools.org/california/borrego-springs/5794-Borrego-Springs-Middle-School/?s_cid=gsapi,(760) 767-5357,https://www.greatschools.org/school/rating.page?state=CA&id=5794&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5794&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5794,CA,public,www.tcoe.trinity.k12.ca.us/~cb
"21400 Ellinwood Drive, 
Torrance, CA  90503",Torrance,Torrance Unified,318,0639420,636,(310) 972-6386,K-5,2962,9,33.83448,-118.36573,Anza Elementary School,063942006550,https://www.greatschools.org/california/torrance/2962-Anza-Elementary-School/?s_cid=gsapi,(310) 533-4559,https://www.greatschools.org/school/rating.page?state=CA&id=2962&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=2962&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/2962,CA,public,http://www.anzaelementary.org/
