charterschools,elementaryschools,highschools,middleschools,name,privateschools,publicschools,rating,totalschools
0,5,0,4,Alpine,1,6,6,7
1,3,2,3,Bonsall,1,3,9,5
4,45,15,24,Oceanside,20,33,6,57
1,4,3,3,Pala,3,0,4,4
1,2,3,3,Borrego Springs,0,5,5,6
12,65,30,33,Chula Vista,26,52,7,90
8,48,26,32,El Cajon,21,41,6,70
3,24,10,17,La Mesa,12,19,7,34
0,0,0,0,,0,0,,0
0,30,8,11,Carlsbad,18,22,9,40
0,4,1,1,Bonita,1,3,8,4
54,315,150,196,San Diego,137,244,7,435
1,5,3,3,Coronado,2,5,9,8
7,44,27,33,Escondido,23,31,5,61
0,5,2,3,Del Mar,4,2,10,6
0,19,7,14,Encinitas,16,11,9,27
2,22,13,16,Fallbrook,13,11,6,26
0,14,4,9,San Clemente,7,11,9,18
3,12,3,8,Lakeside,4,10,6,17
1,14,6,9,Spring Valley,5,15,5,21
0,11,3,10,Santee,1,12,8,13
1,5,3,4,Jamul,2,3,7,6
2,4,6,4,Julian,2,4,7,8
6,39,20,23,Vista,20,22,5,48
0,9,2,6,Lemon Grove,4,6,5,10
0,1,2,2,Campo,0,3,3,3
0,1,0,0,Boulevard,0,1,7,1
4,33,13,21,Thousand Oaks,22,14,8,40
0,1,0,0,Descanso,0,1,9,1
2,3,6,6,Pine Valley,2,3,4,7
6,27,18,23,San Marcos,14,20,8,40
0,2,1,2,Potrero,1,1,2,2
2,18,5,8,National City,5,14,5,21
0,25,5,10,Poway,18,11,9,29
0,15,9,7,Ramona,9,11,7,20
0,4,1,3,Rancho Santa Fe,2,3,10,5
1,5,3,2,La Jolla,3,5,9,9
0,7,2,6,Solana Beach,6,3,10,9
0,5,0,1,San Ysidro,0,6,4,6
1,7,3,4,Imperial Beach,2,6,4,9
14,50,31,34,Simi Valley,20,26,6,60
0,1,0,1,Rainbow,0,1,6,1
2,12,8,8,Valley Center,5,8,5,15
0,2,1,2,Pauma Valley,1,1,3,2
2,3,4,3,Warner Springs,0,3,3,5
