address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"P.O. Box 1528, 
Alpine, CA  91903",Alpine,,,,,,K-8,12828,,32.8352,-116.7659,Alpine Christian,A0100712,https://www.greatschools.org/california/alpine/12828-Alpine-Christian/?s_cid=gsapi,(619) 445-5250,https://www.greatschools.org/school/rating.page?state=CA&id=12828&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12828&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/12828,CA,private,
"2975 East Alpine Avenue, 
Tulare, CA  93274",Tulare,Tulare City School District,986,0639870,856,,K-8,31115,5,36.20226,-119.3149,Alpine Vista,063987013286,https://www.greatschools.org/california/tulare/31115-Alpine-Vista/?s_cid=gsapi,(559) 687-3135,https://www.greatschools.org/school/rating.page?state=CA&id=31115&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31115&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31115,CA,public,www.tcsdk8.org
"24740 San Moritz Way, 
Crestline, CA  92325",Crestline,Rim Of The World Unified,616,0632610,,(909) 589-0423,n/a,14008,,34.24355,-117.26298,Alpine Completion,063261013268,https://www.greatschools.org/california/crestline/14008-Alpine-Completion/?s_cid=gsapi,(909) 589-0041,https://www.greatschools.org/school/rating.page?state=CA&id=14008&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14008&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14008,CA,public,
"1850 Alpine Boulevard, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,384,(619) 445-0484,1-5,5785,5,32.83878,-116.77429,Alpine Elementary School,060210000091,https://www.greatschools.org/california/alpine/5785-Alpine-Elementary-School/?s_cid=gsapi,(619) 445-2625,https://www.greatschools.org/school/rating.page?state=CA&id=5785&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5785&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5785,CA,public,www.alpineschools.net/alpineelementary
"2001 Tavern Road, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,,(619) 445-7045,6-8,14241,,32.836693,-116.77478,Alpine Community Day School,060210010623,https://www.greatschools.org/california/alpine/14241-Alpine-Community-Day-School/?s_cid=gsapi,(619) 445-3245,https://www.greatschools.org/school/rating.page?state=CA&id=14241&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14241&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14241,CA,public,www.alpineschools.net
"43 Hawkside Drive, 
Markleeville, CA  96120",Markleeville,Alpine County Office Of Education,1076,0691058,6,(530) 694-2379,1-12,10870,,38.76619,-119.80696,Alpine County Opportunity School,069105806965,https://www.greatschools.org/california/markleeville/10870-Alpine-County-Opportunity-School/?s_cid=gsapi,(530) 694-2230,https://www.greatschools.org/school/rating.page?state=CA&id=10870&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=10870&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/10870,CA,public,www.alpinecoe.k12.ca.us
"8244 East Pearblossom Highway, 
Littlerock, CA  93543",Littlerock,Keppel Union Elementary School District,284,0619440,462,(661) 944-0597,K-8,1867,3,34.521088,-117.98268,Alpine Elementary School,061944002332,https://www.greatschools.org/california/littlerock/1867-Alpine-Elementary-School/?s_cid=gsapi,(661) 944-3221,https://www.greatschools.org/school/rating.page?state=CA&id=1867&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=1867&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/1867,CA,public,www.keppel.k12.ca.us/alpine
"2320 Tavern Road, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,244,(619) 445-1420,1-5,5786,8,32.81912,-116.77734,Boulder Oaks Elementary School,060210009696,https://www.greatschools.org/california/alpine/5786-Boulder-Oaks-Elementary-School/?s_cid=gsapi,(619) 445-8676,https://www.greatschools.org/school/rating.page?state=CA&id=5786&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5786&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5786,CA,public,www.alpineschools.net/boulderoaks
"2001 Tavern Road, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,570,(619) 445-6503,6-8,5787,5,32.82543,-116.77541,Joan Macqueen Middle School,060210000092,https://www.greatschools.org/california/alpine/5787-Joan-Macqueen-Middle-School/?s_cid=gsapi,(619) 445-3245,https://www.greatschools.org/school/rating.page?state=CA&id=5787&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5787&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5787,CA,public,www.alpineschools.net/joanmac
"8770 Harbison Canyon Road, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,261,(619) 445-2157,K-5,5788,6,32.832817,-116.8171,Shadow Hills Elementary School,060210009112,https://www.greatschools.org/california/alpine/5788-Shadow-Hills-Elementary-School/?s_cid=gsapi,(619) 445-2977,https://www.greatschools.org/school/rating.page?state=CA&id=5788&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5788&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5788,CA,public,www.alpineschools.net/shadowhills
