CDSCode,District,School,Street,StreetAbr,City,*,State,Phone,OpenDate,Charter,DOCType,SOC,SOCType,GSoffered,Latitude,Longitude,LastUpdate,2016-2017 Total Enrollment,2015-2016 ELA Current Status (avg. distance from level 3),2015-2016 ELA Prior Status (age. Distance from level 3),2015-2016 ELA Change (Difference between current and prior status),2015-2016 ELA Status Level,2015-2016 ELA Status Level (Decode),2015-2016 ELA Change Level,2015-2016 ELA Change Level (Decode),2015-2016 ELA Color,2015-2016 ELA Color (Decode),2015-2016 ELA box,2015-2016 ELA box (Decode),2015-2016 Math Current Status (avg. distance from level 3),2015-2016 Math Prior Status (age. Distance from level 3),2015-2016 Math Change (Difference between current and prior status),2015-2016 Math Status Level,2015-2016 Math Status Level (Decode),2015-2016 Math Change Level,2015-2016 Math Change Level (Decode),2015-2016 Math Color,2015-2016 Math Color (Decode),2015-2016 Math box,2015-2016 Math box (Decode),2016-2017 English Language Learners,2016-2017 % English Language Learners,2016-2017 FRPM Count,2016-2017 % FRPM Count,2015-2016 SAT: AvgScrRead,2015-2016 SAT: AvgScrMath,2015-2016 SAT: AvgScrWrit,2015-2016 SAT: Number of Test Takers Whose Total 2015-2016 SAT Scores Are Greater or Equal to 1500,2015-2016 SAT: % of Test Takers Whose Total 2015-2016 SAT Scores Are Greater or Equal to 1500,2015-2016 Enrollment Grades 10-12,2015-2016 AP Number Tested,2015-2016 % AP Number Tested,2015-2016 AP Score = 1,2015-2016 AP Score = 2,2015-2016 AP Score = 3,2015-2016 AP Score = 4,2015-2016 AP Score = 5,% 2015-2016 AP Score = 1,% 2015-2016 AP Score = 2,% 2015-2016 AP Score = 3,% 2015-2016 AP Score = 4,% 2015-2016 AP Score = 5,IB,AVID,Dual Language,Arts,Education Equity,US News 
37679676037519,Alpine Union Elementary,Alpine Elementary,1850 Alpine Boulevard,1850 Alpine Blvd.,Alpine,91901-3898,CA,(619) 445-2625,7/1/1980,N,Elementary School District,,Elementary Schools (Public),1-5,32.837485,-116.77454,7/19/2016,260,-7,-19.1,12.1,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-22.6,-26.6,4,3,Medium,3,Maintained,3,Yellow,130,"Medium, Maintained",31,12%,116,45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679676109086,Alpine Union Elementary,Boulder Oaks Elementary,2320 Tavern Road,2320 Tavern Rd.,Alpine,91901-3134,CA,(619) 445-8676,5/1/1990,N,Elementary School District,,Elementary Schools (Public),1-5,32.819163,-116.77617,10/6/2015,270,27.4,-8.9,36.3,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",7.3,-11.1,18.4,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",12,4%,59,22%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679676118723,Alpine Union Elementary,Creekside Early Learning Center,8818 Harbison Canyon Road,8818 Harbison Canyon Rd.,Alpine,91901-2616,CA,(619) 659-8250,8/1/2001,N,Elementary School District,,Elementary Schools (Public),P-K,32.832208,-116.81507,6/18/2015,247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,1%,58,23%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37679676037535,Alpine Union Elementary,Joan MacQueen Middle,2001 Tavern Road,2001 Tavern Rd.,Alpine,91901-3129,CA,(619) 445-3245,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.825432,-116.77538,10/9/2015,556,-13.8,-31.9,18.2,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-36.4,-46.1,9.7,2,Low,4,Increased,3,Yellow,190,"Low, Increased",25,4%,143,26%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679676109953,Alpine Union Elementary,Mountain View Learning Academy,8770 Harbison Canyon Road,8770 Harbison Canyon Rd.,Alpine,91901-2615,CA,(619) 659-2854,,N,Elementary School District,,Alternative Schools of Choice,K-8,32.832208,-116.81507,7/15/2016,78,-19.5,9.9,-29.5,2,Low,1,Decreased Significantly,0,No Color,0,NO COLOR,-33.5,4.1,-37.6,2,Low,1,Decreased Significantly,0,No Color,0,No Color,1,1%,19,24%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
37679676106256,Alpine Union Elementary,Shadow Hills Elementary,8770 Harbison Canyon Road,8770 Harbison Canyon Rd.,Alpine,91901-2615,CA,(619) 445-2977,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.8319,-116.81522,7/1/2016,334,-29.7,-14.5,-15.2,2,Low,1,Decreased Significantly,1,Red,160,"Low, Declined Significantly",-34.2,-20,-14.2,2,Low,1,Decreased Significantly,1,Red,160,"Low, Declined Significantly",15,4%,90,27%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37768516037543,Bonsall Unified,Bonsall Elementary,31555 Old River Road,31555 Old River Rd.,Bonsall,92003-5112,CA,(760) 631-5205,7/1/1980,N,Unified School District,,Elementary Schools (Public),K-5,33.287143,-117.22078,8/22/2016,990,21.8,11.5,10.4,4,High,4,Increased,4,Green,90,"High, Increased",19.2,-2.5,21.7,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",179,18%,334,34%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37768510129320,Bonsall Unified,Bonsall High,7350 West Lilac Road,7350 West Lilac Rd.,Bonsall,92003-4316,CA,(760) 631-5209,8/25/2014,N,Unified School District,,High Schools (Public),9-12,33.296238,-117.17648,6/18/2015,229,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,11%,96,42%,N/A,N/A,N/A,N/A,N/A,64,0,0%,N/A,N/A,N/A,N/A,N/A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
37768510110122,Bonsall Unified,Bonsall West Elementary,5050 El Mirlo Drive,5050 El Mirlo Dr.,Oceanside,92057-2704,CA,(760) 721-8001,8/29/2005,N,Unified School District,,Elementary Schools (Public),K-6,33.263619,-117.29384,6/18/2015,556,44.7,45.2,-0.6,4,High,3,Maintained,4,Green,80,"High, Maintained",38.5,50.5,-12.1,5,Very High,1,Decreased Significantly,3,Yellow,10,"Very High, Declined Significantly",63,11%,110,20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37768516108567,Bonsall Unified,Norman L. Sullivan Middle,7350 West Lilac Road,7350 West Lilac Rd.,Bonsall,92003-5112,CA,(760) 631-5209,7/1/1980,N,Unified School District,,Intermediate/Middle Schools (Public),6-8,33.296116,-117.17507,9/1/2016,581,28.2,25.2,3.1,4,High,3,Maintained,4,Green,80,"High, Maintained",6.2,-13,19.2,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",81,14%,224,39%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,x,,,,
37768510132886,Bonsall Unified,Pathways Academy Charter,31505 Old River Road,31505 Old River Rd.,Bonsall,92003-3614,CA,(760) 494-9646,9/8/2015,Y,Unified School District,,K-12 Schools (Public),K-12,33.287099,-117.21892,8/30/2016,394,-10.6,#DIV/0!,#DIV/0!,0,No Data,0,No Data,0,No Color,0,NO COLOR,-43.1,#DIV/0!,#DIV/0!,0,No Data,0,No Data,0,No Color,0,No Color,24,6%,155,39%,N/A,N/A,N/A,N/A,N/A,49,0,0%,N/A,N/A,N/A,N/A,N/A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
37768516113468,Bonsall Unified,Vivian Banks Charter,11800 Pala Mission Road,11800 Pala Mission Rd.,Pala,92059,CA,(760) 742-3300,9/3/1996,Y,Unified School District,,Elementary Schools (Public),K-5,33.365115,-117.07171,4/5/2017,108,-28.9,-54.9,26,2,Low,5,Increased Significantly,0,No Color,0,NO COLOR,-42.1,-79.7,37.6,2,Low,5,Increased Significantly,0,No Color,0,No Color,43,40%,90,83%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679836037550,Borrego Springs Unified,Borrego Springs Elementary,1315 Palm Canyon Drive,1315 Palm Canyon Dr.,Borrego Springs,92004-0235,CA,(760) 767-5333,7/1/1980,N,Unified School District,,Elementary Schools (Public),P-5,33.256865,-116.34685,6/18/2015,177,-24.2,-53,28.9,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",-29.8,-36.9,7.1,2,Low,4,Increased,3,Yellow,190,"Low, Increased",118,67%,155,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,x,x,,,
